timestamp;value
8169;1284 
8172;1277 
8174;1263 
8176;1275 
8178;1272 
8180;1270 
8182;1275 
8184;1289 
8186;1279 
8188;1274 
8190;1292 
8192;1280 
8193;1288 
8194;1275 
8197;1281 
8199;1280 
8201;1286 
8203;1274 
8205;1267 
8207;1285 
8209;1276 
8211;1295 
8213;1273 
8215;1288 
8217;1274 
8219;1272 
8221;1272 
8223;1282 
8225;1274 
8227;1281 
8229;1274 
8231;1277 
8233;1263 
8235;1281 
8237;1265 
8239;1275 
8241;1275 
8243;1289 
8245;1275 
8247;1285 
8249;1278 
8251;1279 
8254;1284 
8255;1267 
8258;1285 
8259;1295 
8260;1279 
8261;1284 
8262;1269 
8263;1279 
8264;1279 
8265;1277 
8266;1268 
8267;1276 
8268;1260 
8269;1275 
8270;6 
8271;5 
8272;5 
8273;15 
8274;6 
8275;19 
8277;4 
8279;2 
8281;17 
8283;1 
8285;19 
8287;10 
8289;3 
8291;7 
8293;2 
8295;7 
8297;6 
8299;-2 
8301;7 
8304;14 
8306;6 
8308;11 
8310;-1 
8312;6 
8314;27 
8316;6 
8318;0 
8320;4 
8322;15 
8324;6 
8326;-12 
8328;3 
8330;-12 
8332;-4 
8333;3 
8334;18 
8337;0 
8338;15 
8339;-7 
8340;-7 
8341;6 
8342;-7 
8343;5 
8344;4 
8345;19 
8346;2 
8347;19 
8348;0 
8349;5 
8350;10 
8352;-16 
8353;5 
8354;-11 
8355;12 
8356;-2 
8358;15 
8360;4 
8362;21 
8364;6 
8366;-1 
8368;19 
8370;6 
8372;14 
8374;9 
8376;13 
8378;-2 
8380;6 
8382;4 
8384;5 
8386;-4 
8388;2 
8390;-6 
8392;1 
8394;-12 
8396;-7 
8398;-1 
8400;18 
8402;9 
8404;17 
8406;1 
8408;23 
8411;9 
8413;-6 
8414;3 
8415;-10 
8416;11 
8417;-3 
8418;2 
8419;3 
8422;-2 
8423;5 
8424;-18 
8425;5 
8426;-6 
8427;6 
8428;-8 
8429;5 
8430;11 
8431;14 
8432;5 
8433;0 
8434;14 
8435;6 
8436;20 
8438;8 
8440;14 
8442;5 
8444;-4 
8446;2 
8448;4 
8450;0 
8453;21 
8455;7 
8457;6 
8459;18 
8461;9 
8463;22 
8465;5 
8467;11 
8469;-3 
8471;7 
8473;3 
8475;8 
8477;15 
