timestamp;value
0-0-8-172000;1266 
0-0-8-175000;1310 
0-0-8-177000;1333 
0-0-8-179000;1352 
0-0-8-181000;1292 
0-0-8-183000;1275 
0-0-8-185000;1228 
0-0-8-187000;1211 
0-0-8-189000;1210 
0-0-8-191000;1245 
0-0-8-193000;1265 
0-0-8-195000;1299 
0-0-8-197000;1351 
0-0-8-199000;1330 
0-0-8-201000;1317 
0-0-8-203000;1265 
0-0-8-205000;1199 
0-0-8-207000;1213 
0-0-8-209000;1215 
0-0-8-211000;1249 
0-0-8-213000;1275 
0-0-8-215000;1301 
0-0-8-217000;1352 
0-0-8-219000;1320 
0-0-8-221000;1310 
0-0-8-223000;1280 
0-0-8-225000;1226 
0-0-8-227000;1210 
0-0-8-229000;1231 
0-0-8-231000;1237 
0-0-8-233000;1271 
0-0-8-235000;1310 
0-0-8-237000;1342 
0-0-8-239000;1365 
0-0-8-241000;1280 
0-0-8-244000;1271 
0-0-8-246000;1217 
0-0-8-248000;1232 
0-0-8-249000;1249 
0-0-8-251000;1234 
0-0-8-253000;1289 
0-0-8-255000;1299 
0-0-8-257000;1371 
0-0-8-259000;1327 
0-0-8-261000;1315 
0-0-8-263000;1258 
0-0-8-265000;1240 
0-0-8-267000;1213 
0-0-8-269000;1210 
0-0-8-271000;1244 
0-0-8-273000;11 
0-0-8-275000;80 
0-0-8-278000;101 
0-0-8-280000;89 
0-0-8-282000;58 
0-0-8-284000;24 
0-0-8-286000;-14 
0-0-8-288000;-30 
0-0-8-290000;-30 
0-0-8-291000;1 
0-0-8-293000;55 
0-0-8-295000;82 
0-0-8-297000;98 
0-0-8-299000;108 
0-0-8-301000;57 
0-0-8-303000;25 
0-0-8-305000;-22 
0-0-8-307000;-32 
0-0-8-309000;-17 
0-0-8-311000;16 
0-0-8-314000;25 
0-0-8-316000;107 
0-0-8-318000;86 
0-0-8-320000;97 
0-0-8-322000;65 
0-0-8-324000;-4 
0-0-8-326000;-32 
0-0-8-328000;-52 
0-0-8-330000;-9 
0-0-8-332000;4 
0-0-8-333000;47 
0-0-8-335000;63 
0-0-8-337000;124 
0-0-8-339000;83 
0-0-8-341000;76 
0-0-8-343000;-17 
0-0-8-345000;-15 
0-0-8-348000;-42 
0-0-8-350000;1 
0-0-8-352000;-1 
0-0-8-354000;31 
0-0-8-356000;86 
0-0-8-358000;87 
0-0-8-360000;109 
0-0-8-362000;49 
0-0-8-364000;-14 
0-0-8-366000;-28 
0-0-8-368000;-35 
0-0-8-370000;5 
0-0-8-372000;-18 
